"","reporting_date","GE","n"
"1",2020-03-01,"0-9",0
"2",2020-03-01,"10-19",0
"3",2020-03-01,"20-39",0
"4",2020-03-01,"30-39",1
"5",2020-03-01,"40-59",0
"6",2020-03-01,"50-69",0
"7",2020-03-01,"60-69",0
"8",2020-03-01,"70+",0
"9",2020-03-02,"0-9",0
"10",2020-03-02,"10-19",0
"11",2020-03-02,"20-39",0
"12",2020-03-02,"30-39",0
"13",2020-03-02,"40-59",0
"14",2020-03-02,"50-69",0
"15",2020-03-02,"60-69",0
"16",2020-03-02,"70+",0
"17",2020-03-03,"0-9",0
"18",2020-03-03,"10-19",0
"19",2020-03-03,"20-39",0
"20",2020-03-03,"30-39",1
"21",2020-03-03,"40-59",1
"22",2020-03-03,"50-69",0
"23",2020-03-03,"60-69",0
"24",2020-03-03,"70+",0
"25",2020-03-04,"0-9",0
"26",2020-03-04,"10-19",0
"27",2020-03-04,"20-39",0
"28",2020-03-04,"30-39",0
"29",2020-03-04,"40-59",0
"30",2020-03-04,"50-69",1
"31",2020-03-04,"60-69",0
"32",2020-03-04,"70+",0
"33",2020-03-05,"0-9",0
"34",2020-03-05,"10-19",0
"35",2020-03-05,"20-39",0
"36",2020-03-05,"30-39",0
"37",2020-03-05,"40-59",2
"38",2020-03-05,"50-69",0
"39",2020-03-05,"60-69",2
"40",2020-03-05,"70+",0
"41",2020-03-06,"0-9",0
"42",2020-03-06,"10-19",0
"43",2020-03-06,"20-39",1
"44",2020-03-06,"30-39",0
"45",2020-03-06,"40-59",3
"46",2020-03-06,"50-69",1
"47",2020-03-06,"60-69",0
"48",2020-03-06,"70+",1
"49",2020-03-07,"0-9",0
"50",2020-03-07,"10-19",2
"51",2020-03-07,"20-39",0
"52",2020-03-07,"30-39",1
"53",2020-03-07,"40-59",2
"54",2020-03-07,"50-69",0
"55",2020-03-07,"60-69",1
"56",2020-03-07,"70+",1
"57",2020-03-08,"0-9",0
"58",2020-03-08,"10-19",0
"59",2020-03-08,"20-39",1
"60",2020-03-08,"30-39",3
"61",2020-03-08,"40-59",1
"62",2020-03-08,"50-69",1
"63",2020-03-08,"60-69",0
"64",2020-03-08,"70+",1
"65",2020-03-09,"0-9",0
"66",2020-03-09,"10-19",1
"67",2020-03-09,"20-39",0
"68",2020-03-09,"30-39",1
"69",2020-03-09,"40-59",2
"70",2020-03-09,"50-69",2
"71",2020-03-09,"60-69",0
"72",2020-03-09,"70+",0
"73",2020-03-10,"0-9",0
"74",2020-03-10,"10-19",2
"75",2020-03-10,"20-39",2
"76",2020-03-10,"30-39",0
"77",2020-03-10,"40-59",3
"78",2020-03-10,"50-69",0
"79",2020-03-10,"60-69",1
"80",2020-03-10,"70+",2
"81",2020-03-11,"0-9",0
"82",2020-03-11,"10-19",2
"83",2020-03-11,"20-39",1
"84",2020-03-11,"30-39",3
"85",2020-03-11,"40-59",2
"86",2020-03-11,"50-69",1
"87",2020-03-11,"60-69",2
"88",2020-03-11,"70+",0
"89",2020-03-12,"0-9",0
"90",2020-03-12,"10-19",3
"91",2020-03-12,"20-39",5
"92",2020-03-12,"30-39",11
"93",2020-03-12,"40-59",9
"94",2020-03-12,"50-69",7
"95",2020-03-12,"60-69",1
"96",2020-03-12,"70+",1
"97",2020-03-13,"0-9",1
"98",2020-03-13,"10-19",6
"99",2020-03-13,"20-39",4
"100",2020-03-13,"30-39",12
"101",2020-03-13,"40-59",12
"102",2020-03-13,"50-69",9
